,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
559,MHPI IV-C,Dorchester,02124,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
560,MHPI V,Dorchester,02121,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,
561,MHPI VI,Dorchester,02125,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,
562,Midway Phase I,South Boston Waterfront,02127,44,0,44,38.0,0.0,38.0,6,0,6.0,Ownership,Private,,
563,Midway Studios,South Boston Waterfront,02127,89,89,0,53.0,53.0,0.0,36,36,0.0,Rental,Private,,
564,Miller (VUP),Dorchester,02122,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
565,Ming's Restaurant,South End,02118,38,38,0,37.0,37.0,0.0,1,1,0.0,Rental,Private,,
566,Minot Hall Condominium,South End,02118,45,0,45,42.0,0.0,42.0,3,0,3.0,Ownership,Private,,
567,Mishawum Assisted Living,Charlestown,02129,66,66,0,33.0,33.0,0.0,33,33,0.0,Rental,Private,Y,Y
568,Mishawum Park,Charlestown,02129,337,337,0,0.0,0.0,0.0,337,337,0.0,Rental,Private,,Y
569,Mission Hill Flats,Mission Hill,02120,40,40,0,35.0,35.0,0.0,5,5,0.0,Rental,Private,,
570,Mission Hill Phase I - HOME AGAIN,Mission Hill,02120,22,6,16,0.0,0.0,0.0,22,6,16.0,Ownership/Rental,Private,,
571,Mission Hill Phase II,Mission Hill,02130,34,34,0,0.0,0.0,0.0,34,34,0.0,Rental,Private,,
572,Mission Hill Scattered Sites,Mission Hill,02120,21,0,21,16.0,0.0,16.0,5,0,5.0,Ownership,Private,,
573,Mission Hill-Phase III - Home Again,Mission Hill,02120,24,6,18,0.0,0.0,0.0,24,6,18.0,Ownership/Rental,Private,,
574,Mission Main Phase I,Mission Hill,02120,310,310,0,51.0,51.0,0.0,259,259,0.0,Rental,Private,,
575,Mission Main Phase II,Mission Hill,02120,139,139,0,25.0,25.0,0.0,114,114,0.0,Rental,Private,,
576,Mission Main Phase III,Mission Hill,02120,86,86,0,14.0,14.0,0.0,72,72,0.0,Rental,Private,,
577,Mission Park,Mission Hill,02115,775,775,0,0.0,0.0,0.0,775,775,0.0,Rental,Private,Y,Y
578,MLK/Washington Commons,Roxbury,02119,49,0,49,21.0,0.0,21.0,28,0,28.0,Ownership,Private,,
579,Monsignor Lyons Condo II,South Boston,02127,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,
580,Monsignor Lyons II- HOME AGAIN,South Boston,02127,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,
581,Monsignor Lyons Townhouses,South Boston,02127,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,
582,Montebello Rd Coop,Jamaica Plain,02130,7,7,0,0.0,0.0,0.0,7,7,0.0,Cooperative,Private,,
583,Moore (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
584,Moreland St Apts,Roxbury,02119,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,
585,Morton Apts,Dorchester,02124,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,Y
586,Morton Village Apts (AOP),Mattapan,02126,207,207,0,0.0,0.0,0.0,207,207,0.0,Rental,Private,,
587,Morville House,Fenway,02115,147,147,0,0.0,0.0,0.0,147,147,0.0,Rental,Private,Y,Y
588,Mount Vernon St Housing Project (Phase 1),Dorchester,02125,205,205,0,183.0,183.0,0.0,22,22,0.0,Rental,Private,,
589,Mr. Lee's Lodge,Roxbury,02119,17,17,0,1.0,1.0,0.0,16,16,0.0,Rental,Private,,
590,Msgr. Powers/L St. (667-3),South Boston,02127,68,68,0,0.0,0.0,0.0,68,68,0.0,Rental,Public,Y,
591,Mt Pleasant Apts,Roxbury,02119,98,98,0,0.0,0.0,0.0,98,98,0.0,Rental,Private,,Y
